title	l:label	id:string:classes
Coded data generation or conversion	Class	341
Communications: directive radio wave systems and devices (e.g., radar, radio navigation)	Class	342
Communications: radio wave antennas	Class	343
Computer graphics processing and selective visual display systems	Class	345
Recorders	Class	346
Incremental printing of symbolic information	Class	347
Television	Class	348
Liquid crystal cells, elements and systems	Class	349
Optics: eye examining, vision testing and correcting	Class	351
Optics: motion pictures	Class	352
Optics: image projectors	Class	353
Photocopying	Class	355
Optics: measuring and testing	Class	356
Facsimile and static presentation processing	Class	358
Optical: systems and elements	Class	359
Boots, shoes, and leggings	Class	36
Dynamic magnetic information storage or retrieval	Class	360
Electricity: electrical systems and devices	Class	361
Illumination	Class	362
Electric power conversion systems	Class	363
Static information storage and retrieval	Class	365
Agitating	Class	366
Communications, electrical: acoustic wave systems and devices	Class	367
Horology: time measuring systems or devices	Class	368
Dynamic information storage or retrieval	Class	369
Excavating	Class	37
Multiplex communications	Class	370
Coherent light generators	Class	372
Industrial electric heating furnaces	Class	373
Thermal measuring and testing	Class	374
Pulse or digital communications	Class	375
Induced nuclear reactions: processes, systems, and elements	Class	376
Electrical pulse counters, pulse dividers, or shift registers: circuits and systems	Class	377
X-ray or gamma ray systems or devices	Class	378
Telephonic communications	Class	379
Textiles: ironing or smoothing	Class	38
Cryptography	Class	380
Electrical audio signal processing systems and devices	Class	381
Image analysis	Class	382
Flexible bags	Class	383
Bearings	Class	384
Optical waveguides	Class	385
Motion video signal processing for recording or reproducing	Class	386
Electricity: motor control systems	Class	388
Electric resistance heating devices	Class	392
Photography	Class	396
Optical communications	Class	398
Electrophotography	Class	399
Baths, closets, sinks, and spittoons	Class	4
Card, picture, or sign exhibiting	Class	40
Typewriting machines	Class	400
Coating implements with material supply	Class	401
Binder device releasably engaging aperture or notch of sheet	Class	402
Joints and connections	Class	403
Road structure, process, or apparatus	Class	404
Hydraulic and earth engineering	Class	405
Conveyors: fluid current	Class	406
Cutters, for shaping	Class	407
Cutting by use of rotating axially moving tool	Class	408
Gear cutting, milling, or planing	Class	409
Freight accommodation on freight carrier	Class	410
Expanded, threaded, driven, headed, tool-deformed, or locked-threaded fastener	Class	411
Bookbinding: process and apparatus	Class	412
Sheet metal container making	Class	413
Material or article handling	Class	414
Rotary kinetic fluid motors or pumps	Class	415
Fluid reaction surfaces (i.e., impellers)	Class	416
Pumps	Class	417
Rotary expansible chamber devices	Class	418
Powder metallurgy processes	Class	419
Firearms	Class	42
Alloys or metallic compositions	Class	420
Chemical apparatus and process disinfecting, deodorizing, preserving, or sterilizing	Class	422
Chemistry of inorganic compounds	Class	423
Drug, bio-affecting and body treating compositions	Class	424
Plastic article or earthenware shaping or treating: apparatus	Class	425
Food or edible material: processes, compositions, and products	Class	426
Coating processes	Class	427
Stock material or miscellaneous articles	Class	428
Chemistry: electrical current producing apparatus, product, and process	Class	429
Fishing, trapping, and vermin destroying	Class	43
Radiation imagery chemistry: process, composition, or product thereof	Class	430
Combustion	Class	431
Heating	Class	432
Dentistry	Class	433
Education and demonstration	Class	434
Chemistry: molecular biology and microbiology	Class	435
Chemistry: analytical and immunological testing	Class	436
Semiconductor device manufacturing: process	Class	438
Electrical connectors	Class	439
Fuel and related compositions	Class	44
Marine propulsion	Class	440
Buoys, rafts, and aquatic devices	Class	441
Fabric (woven, knitted, or nonwoven textile or cloth, etc.)	Class	442
Electric lamp or space discharge component or device manufacturing	Class	445
Amusement devices: toys	Class	446
Bee culture	Class	449
Foundation garments	Class	450
Abrading	Class	451
Butchering	Class	452
Coin handling	Class	453
Ventilation	Class	454
Telecommunications	Class	455
Crop threshing or separating	Class	460
Books, strips, and leaves for manifolding	Class	462
Amusement devices: games	Class	463
Rotary shafts, gudgeons, housings, and flexible couplings for rotary shafts	Class	464
Plant husbandry	Class	47
Threaded, headed fastener, or washer making: process and apparatus	Class	470
Amusement devices	Class	472
Games using tangible projectile	Class	473
Endless belt power transmission systems or components	Class	474
Planetary gear transmission systems or components	Class	475
Friction gear transmission systems or components	Class	476
Interrelated power delivery controls, including engine control	Class	477
Gas: heating and illuminating	Class	48
Exercise devices	Class	482
Tool changing	Class	483
Movable or removable closures	Class	49
Roll or roller	Class	492
Manufacturing container or tube from paper; or other manufacturing from a sheet or web	Class	493
Imperforate bowl: centrifugal separators	Class	494
Beds	Class	5
Compositions: ceramic	Class	501
Catalyst, solid sorbent, or support therefor: product or process of making	Class	502
Record receiver having plural interactive leaves or a colorless color former, method of use, or developer therefor	Class	503
Plant protecting and regulating compositions	Class	504
Superconductor technology: apparatus, material, process	Class	505
Combinatorial chemistry technology: method, library, apparatus	Class	506
Earth boring, well treating, and oil field chemistry	Class	507
Solid anti-friction devices, materials therefor, lubricant or separant compositions for moving solid surfaces, and miscellaneous mineral oil compositions	Class	508
Abrasive tool making process, material, or composition	Class	51
Cleaning compositions for solid surfaces, auxiliary compositions therefor, or processes of preparing the compositions	Class	510
Perfume compositions	Class	512
Drug, bio-affecting and body treating compositions	Class	514
Colloid systems and wetting agents; subcombinations thereof; processes of	Class	516
Chemistry: fischer-tropsch processes; or purification or recovery of products thereof	Class	518
Static structures (e.g., buildings)	Class	52
Synthetic resins or natural rubbers -- part of the class 520 series	Class	520
Synthetic resins or natural rubbers -- part of the class 520 series	Class	521
Synthetic resins or natural rubbers -- part of the class 520 series	Class	522
Synthetic resins or natural rubbers -- part of the class 520 series	Class	523
Synthetic resins or natural rubbers -- part of the class 520 series	Class	524
Synthetic resins or natural rubbers -- part of the class 520 series	Class	525
Synthetic resins or natural rubbers -- part of the class 520 series	Class	526
Synthetic resins or natural rubbers -- part of the class 520 series	Class	527
Synthetic resins or natural rubbers -- part of the class 520 series	Class	528
Package making	Class	53
Chemistry: natural resins or derivatives; peptides or proteins; lignins or reaction products thereof	Class	530
Organic compounds -- part of the class 532-570 series	Class	532
Organic compounds -- part of the class 532-570 series	Class	534
Organic compounds -- part of the class 532-570 series	Class	536
Harness for working animal	Class	54
Organic compounds -- part of the class 532-570 series	Class	540
Organic compounds -- part of the class 532-570 series	Class	544
Organic compounds -- part of the class 532-570 series	Class	546
Organic compounds -- part of the class 532-570 series	Class	548
Organic compounds -- part of the class 532-570 series	Class	549
Gas separation	Class	55
Organic compounds -- part of the class 532-570 series	Class	552
Organic compounds -- part of the class 532-570 series	Class	554
Organic compounds -- part of the class 532-570 series	Class	556
Organic compounds -- part of the class 532-570 series	Class	558
Harvesters	Class	56
Organic compounds -- part of the class 532-570 series	Class	560
Organic compounds -- part of the class 532-570 series	Class	562
Organic compounds -- part of the class 532-570 series	Class	564
Organic compounds -- part of the class 532-570 series	Class	568
Textiles: spinning, twisting, and twining	Class	57
Organic compounds -- part of the class 532-570 series	Class	570
Chemistry of hydrocarbon compounds	Class	585
Hazardous or toxic waste destruction or containment	Class	588
Chain, staple, and horseshoe making	Class	59
Power plants	Class	60
Surgery	Class	600
Surgery: kinesitherapy	Class	601
Surgery: splint, brace, or bandage	Class	602
Surgery	Class	604
Surgery	Class	606
Surgery: light, thermal, and electrical application	Class	607
Refrigeration	Class	62
Prosthesis (i.e., artificial body members), parts thereof, or aids and accessories therefor	Class	623
Jewelry	Class	63
Glass manufacturing	Class	65
Textiles: knitting	Class	66
Textiles: fluid treating apparatus	Class	68
Leather manufactures	Class	69
Compound tools	Class	7
Locks	Class	70
Data processing: generic control systems or specific applications	Class	700
Data processing: vehicles, navigation, and relative location	Class	701
Data processing: measuring, calibrating, or testing	Class	702
Data processing: structural design, modeling, simulation, and emulation	Class	703
Data processing: speech signal processing, linguistics, language translation, and audio compression/decompression	Class	704
Data processing: financial, business practice, management, or cost/price determination	Class	705
Data processing: artificial intelligence	Class	706
Data processing: database and file management or data structures	Class	707
Electrical computers: arithmetic processing and calculating	Class	708
Electrical computers and digital processing systems: multicomputer data transferring	Class	709
Chemistry: fertilizers	Class	71
Electrical computers and digital data processing systems: input/output	Class	710
Electrical computers and digital processing systems: memory	Class	711
Electrical computers and digital processing systems: processing architectures and instruction processing (e.g., processors)	Class	712
Electrical computers and digital processing systems: support	Class	713
Error detection/correction and fault detection/recovery	Class	714
